,task,true,model,model_extracted,classification_metric
2857,quote context brian feel learn taking umich stephen maybe evil aspect respond response making agree,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2858,quote context ence agree accept argument taking death maybe dead live ever eternal kind learn,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2859,quote context feel learn evil agree accept maybe brian taking umich live kind ever argument,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2860,quote context umich taking feel learn maybe agree aspect brian stephen engin kind making response,-2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
2861,quote feel brian evil accept context respond choose learn excuse sorry newsgroup response love maybe,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2862,quote feel evil brian context learn accept respond choose newsgroup maybe umich response excuse love,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2863,quote feel evil brian context learn accept respond choose newsgroup maybe umich response love excuse,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2864,quote hell context accept agree death live evil argument dead feel learn maybe taking eternal,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2865,quote hell context death accept evil agree feel live learn dead stup brian maybe argument,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2866,quote hell death evil context accept feel agree live brian love stup learn maybe dead,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2867,quote hell evil death love feel context accept brian live stup agree learn maybe ever,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2868,radio switch signal input audio helmet output level channel receiver noise relay frequency circuit local,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2869,radio switch signal input audio helmet output level circuit local channel receiver noise relay voltage,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2870,receive may variety new several orange point state complaint fun within pumpkin easier figure animal,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2871,receive new may variety several orange point state complaint within fun pumpkin easier figure animal,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2872,receive rice absolutely disappointed white fast noodle dish return customer service anyway terrible satisfied process,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2873,receive variety may several new orange point state complaint fun within pumpkin figure easier animal,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2874,receive variety several may new orange state point complaint within fun pumpkin figure animal easier,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2875,receive variety several may orange new state point fun within pumpkin complaint animal figure easier,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2876,recipe bread flour baking simple traditional toast sandwich pizza mustard member crust celiac disease rise,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2877,reference cipher random crypt attack cryptography function security gregg plaintext jaeger public ciphertext encryption message,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2878,reference cipher random crypt cryptography attack function security gregg plaintext jaeger public ciphertext algorithm encryption,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2879,reference cipher random crypt cryptography attack function security gregg plaintext jaeger public ciphertext encryption algorithm,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2880,reference cipher random crypt function cryptography attack gregg text jaeger plaintext parts ciphertext hash security,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2881,reference function cipher text random attack crypt muslim cryptography gregg jaeger plaintext parts ciphertext hash,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2882,regular bit serve per save hot red spicy pepper ounce subscribe heat option kick chili,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2883,regular definitely less serve buying red cheaper alternative ounce option however lack alone twice something,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2884,regular definitely less serve red cheaper buying alternative option ounce however alone lack twice something,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2885,regular serve light red ounce single alone alternative option less however typically enjoyable popchips calorie,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2886,regular serve light red ounce single alone option alternative typically however enjoyable less popchips combine,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2887,regular serve light red ounce single option alone typically enjoyable combine popchips however least tend,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2888,regular serve light red single ounce option alone tend typically combine enjoyable equal tends combo,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2889,regular serve per fan red spicy pepper single alternative option heat kick huge fry alone,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2890,regular serve per red spicy pepper single fan option heat alternative kick fry overpower alone,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2891,regular serve per red spicy pepper single heat option however kick alternative cheaper fry overpower,-2,  No.</s>,-2,0.0
2892,regular serve per red spicy pepper single option heat alternative kick fan fry overpower bbq,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2893,regular serve per red spicy pepper single option heat alternative kick fan fry overpower however,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2894,religion argument ence belief assume atheist statement sense cannot view religious nothing existence doubt prove,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2895,religion asking faith belief sensor others child daughter ford model father word proof away wife,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2896,religion atheist argument atheism religious belief ence existence statement faith universe view christianity definition risc,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2897,religion atheist argument belief ence religious atheism existence statement faith therefore cause cannot universe view,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2898,religion atheist argument religious atheism ence belief existence faith universe statement christianity islam risc theist,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2899,religion atheist atheism belief religious existence argument statement ence universe faith cause strong sense wrong,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2900,religion atheist atheism religious belief existence universe risc strong cause statement means theist instruction nothing,2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
2901,religion atheist atheism religious belief faith strong theist universe command saturn position cause response statement,1,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
2902,religion atheist atheism religious belief faith strong theist universe existence saturn christianity position cause statement,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2903,religion atheist belief argument atheism religious existence ence statement faith cause universe sense therefore wrong,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2904,religion atheist belief religious atheism faith christianity existence strong theist universe follow become convert accept,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2905,religion atheist belief religious atheism faith christianity existence strong universe follow theist become accept statement,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2906,religion atheist belief religious atheism faith christianity existence strong universe theist become follow convert statement,2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
2907,religion atheist belief religious atheism faith christianity existence strong universe theist follow become convert accept,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2908,religion atheist belief religious atheism faith christianity existence strong universe theist follow become statement accept,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2909,religion atheist belief religious faith atheism christianity existence follow strong universe theist become statement accept,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2910,religion atheist belief religious faith atheism christianity existence strong follow universe theist become accept bible,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2911,religion atheist check atheism message monitor email center following religious subject application command send access,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2912,religion belief atheist atheism existence christianity faith ence cannot universe truth religious argument accept strong,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2913,religion belief atheist atheism faith existence ence religious christianity argument cannot statement universe strong prove,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2914,religion belief atheist ence argument atheism faith christianity existence religious cannot statement universe prove truth,2,"  Sure, I can help you with that!  Class: rather yes</s>",1,0.75
2915,religion belief atheist ence atheism argument faith existence christianity religious cannot statement universe prove truth,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2916,religion belief atheist faith atheism existence christianity religious ence cannot argument universe statement nature follow,2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
2917,religion belief atheist faith atheism existence christianity religious ence cannot argument universe statement strong nature,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2918,religion belief atheist faith atheism existence christianity religious ence cannot argument universe strong truth nature,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2919,religion muslim islam religious christianity follow kent sandvik woman newton islamic apple bobby activity mozumder,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2920,religion port batf serial bill company stratus public country able clinton news talk modem washington,-2,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
2921,religion religious atheist atheism command cycle prof boot ford saturn everything symposium profit response dealer,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2922,religion religious christianity follow islam utexas woman muslim sandvik kent newton islamic bobby activity apple,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2923,religion religious utexas follow woman islam christianity muslim evil bobby discus islamic deny thought ccwf,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2924,religion religious utexas follow woman islam muslim evil discus bobby ccwf human truth ignore heart,1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2925,religion religious utexas follow woman islam muslim evil discus bobby christianity human ccwf truth thought,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2926,religion utexas religious follow woman islam muslim discus evil bobby truth ccwf human rochester heart,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2927,remember andrew face reading dave reduce risc instruction duke intel instructions icon clone dear powerbook,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2928,remember andrew face reading risc reduce instruction duke intel instructions clone dave dear powerbook architecture,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2929,remember duke risc reduce intel instruction face andrew road reading cica clone architecture instructions address,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2930,request address militia amendment bear send arms constitution shall mailing organize regulate expo free receive,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2931,request address militia amendment bear send arms constitution shall mailing organize regulate free expo sentence,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2932,request address militia bear amendment send arms constitution shall mailing organize regulate receive expo free,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2933,request address send bear militia amendment constitution arms receive shall mailing free organize regulate expo,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2934,request amendment militia bear shall constitution arms mailing regulate organize send free liberty standing infringe,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2935,request amendment militia bear shall constitution arms mailing send regulate organize liberty standing free infringe,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2936,request militia amendment arms bear address constitution send shall regulate organize free sentence receive form,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2937,request militia amendment bear address arms constitution send shall receive organize regulate free mailing sentence,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2938,request militia amendment bear arms address constitution send shall organize regulate free mailing sentence receive,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2939,request militia amendment bear arms constitution send shall address regulate organize sentence free mailing infringe,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2940,request militia amendment bear arms constitution shall send mailing address regulate organize expo free sentence,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2941,research center april health national medical washington report institute cancer department among page virginia child,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2942,research center april medical health national report nasa washington cancer institute virginia page among disease,-2,  No.</s>,-2,0.0
2943,research center april medical health national report washington institute cancer nasa disease virginia page child,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2944,research center april washington national health medical report institute department cancer among page child virginia,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2945,research center internet phone office email virginia institute north national computing department technology film organization,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2946,research center internet phone office virginia email north computing institute national film nasa cray contact,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2947,research center nasa april medical health national report cancer virginia washington page institute volume among,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2948,research center nasa medical april health report national cancer virginia page volume washington newsletter office,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2949,research center washington april national health report institute medical department among page child virginia office,2,  No.</s>,-2,0.0
2950,research center washington april national health report medical institute department among page child virginia office,0,  No.</s>,-2,0.0
2951,research center washington april national report health institute medical department among child page virginia study,2,  Sure! Here's the classification of the given list of words:  Rather yes</s>,1,0.75
2952,research center washington april national report institute health medical department among virginia page child study,2,  Sure! Here's the classification of the given list of words:  Rather yes</s>,1,0.75
2953,research design cost market technology project small development launch radio engineering institute quality center station,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2954,research phone center organization technology office institute department national email engineering conference contact computing virginia,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2955,research technology project cost radio design station development build engineering phone science commercial market center,2,  Sure! Here's the classification of the given list of words:  Rather yes</s>,1,0.75
2956,research technology radio cost project design station engineering development build center science launch institute market,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2957,research technology radio cost project design station engineering development build science center launch market institute,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2958,research technology radio cost project station design engineering development center science launch build national institute,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2959,review know smell bad i'll people think disappointed since read reviewer open write reason base,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2960,review know smell bad say i'll since read think reviewer people open seal see though,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2961,review know smell bad say i'll since think read people reviewer open seal see though,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2962,review know smell bad say i'll since think read reviewer people open seal see though,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2963,review see another disappointed read value similar reviewer base call experience write reading comment negative,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2964,review see disappointed read reviewer call similar base label write another reading saw comment note,1,"  Sure, I'd be happy to help!  Class: rather yes</s>",1,0.75
2965,review see disappointed read value another reviewer similar base call label write reading comment note,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2966,review see disappointed reviewer call say similar write base open reading another read mail sure,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2967,review see disappointed reviewer call similar read base write label reading another comment saw sure,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2968,review see disappointed reviewer call similar read base write label reading another say comment sure,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2969,review see disappointed reviewer call similar write say base read reading another label comment sure,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2970,review smell bad know i'll people disappointed since read think reviewer open agree base write,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2971,review smell bad know i'll since disappointed people read open think reviewer seal thought reading,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2972,review smell bad know i'll since people disappointed think read reviewer open seal though agree,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2973,review smell bad know i'll since people disappointed think read reviewer open seal though reading,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2974,review smell though bad pretty may might i'll compare read must similar reviewer base overall,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2975,rice absolutely grain there's process soon terrible satisfied experience replace wild sticky disgust lol freshness,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2976,rice add soup gum cook pasta brown chicken stuff noodle wish review dish beef recipe,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2977,rice meal bowl ginger content picky label brown dinner sprinkle eater fairly cooked thai contain,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2978,rice meal bowl ginger content picky label dinner contain sprinkle brown eater fairly cooked thai,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2979,rice meal bowl ginger content picky label dinner sprinkle brown eater fairly cooked contain thai,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2980,rice meal content ginger contain dinner sprinkle cooked thai fairly snap they've firm palm stew,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2981,rice meal ginger content contain picky dinner sprinkle label eater cooked fairly thai snap reorder,0,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
2982,rice meal ginger content contain picky sprinkle dinner eater label cooked thai fairly serve snap,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2983,rice meal ginger content contain picky sprinkle dinner label eater cooked fairly thai snap serve,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2984,rice meal ginger content contain picky sprinkle dinner label eater cooked thai fairly serve snap,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2985,rice meal ginger content contain sprinkle dinner cooked thai snap breast brown they've fairly chicken,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2986,rice meal ginger content contain sprinkle dinner cooked thai snap they've fairly breast palm brown,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2987,rice meal ginger content contain sprinkle dinner cooked thai snap they've fairly palm breast might,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2988,rice meal ginger content picky contain bowl label dinner sprinkle eater fairly cooked brown thai,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2989,rice meal ginger content picky contain dinner label sprinkle eater bowl fairly cooked thai brown,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2990,rice meal ginger content picky contain dinner sprinkle label eater cooked fairly thai snap reorder,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2991,rice season tomato tuna pea steak fudge hol mustard wasabi usa bubble oreo creme trader,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2992,rice season tomato tuna steak pea fudge hol mustard wasabi bubble usa cookie oreo creme,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2993,rice season tuna pea steak fudge mustard wasabi usa bubble oreo trader sardine gooey fig,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2994,rice soup chicken gum noodle cooked pork season cook steak mustard curry bubble usa broth,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2995,rice soup pasta noodle service customer tuna vendor country hol wasabi usa pea bubble birthday,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2996,right bean candy quick refresh grind mango beverage sweetness ant pineapple cold antiox unique grinder,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2997,right calorie bean low amount candy fat light high content sodium small refresh mango carbs,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2998,right calorie bean low amount fat candy high light content sodium carbs small mango weight,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
2999,right calorie bean low amount fat candy high light content sodium small mango carbs carb,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3000,right calorie bean low amount fat candy high light content sodium weight carbs lower mango,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3001,right calorie bean low amount fat candy high light content sodium weight lower carbs mango,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3002,right calorie bean low fat candy amount high small content sodium serve lower carbs prov,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3003,right candy enjoy amount refresh summer quantity chunk unique think sweet ant plain outstanding antiox,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3004,right enjoy bean candy amount quick refresh cold sweetness mango beverage summer quantity warm grind,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3005,risc week driver instruction spacecraft picture large adaptec mode next orbit cause memory blah rose,0,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
3006,risc week picture large instruction adaptec rose spacecraft blah reduce timer gain cause memory architecture,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3007,roast com blend www http chip href brew keurig k-cups bold pod french starbucks k-cup,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3008,roast com www http href keurig bold pod k-cup k-cups grey brewer earl blend gelatin,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3009,roast com www http href keurig k-cups bold pod k-cup decaf chai espresso mountain grey,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3010,roast com www http href keurig k-cups bold pod k-cup decaf chai mountain grey brewer,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3011,roast cup bean keurig k-cups bold brew pod french k-cup starbucks machine espresso dark blend,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3012,roast dark bit full away long rich half flavorful miss person extremely noodle lover ground,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3013,roast dark full bit away long rich half flavorful miss person noodle extremely lover ground,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3014,roast dark full rich flavorful extremely double pick count drank consistently selection odd delicate sumatra,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3015,roast www http href com keurig bold pod k-cup k-cups mountain grey brewer earl blend,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3016,roast www http href com keurig k-cups bold pod k-cup mountain grey brewer earl blend,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3017,robert carry fast speed week weapon chicago application processor anyway move mouse tool distribution powerpc,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3018,robert chicago carry speed week fast processor info anyway weapon member jason wait powerpc away,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3019,robert chicago jason education pretty univ remember somebody anymore info weird shaft everybody member love,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3020,robert chicago jason info education member pretty uchicago anyway fast univ week remember veal weird,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3021,robert chicago jason pretty education univ somebody remember anymore everybody weird shaft laugh love info,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3022,rule entry test output define section return check size count build author remark larry open,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3023,rule entry test output define section return size check count build author larry remark open,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3024,rule entry test output define section size check count return build author remark larry open,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3025,rutgers kaldis child koresh easter michael radio homosexual ence trial witness georgia germany theodore covington,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3026,ryan story stephen wave canada indiana smoke ottawa mike danny funny udel guess result gibson,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3027,ryan wave story stephen indiana guess ottawa smoke danny coming canada mike udel previous gibson,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3028,ryan wave story stephen indiana ottawa smoke guess canada danny mike coming udel funny gibson,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3029,saffron stevia lavender dang soap erythritol freshly bad ive cool sweeten salad jambalaya bloating mess,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
3030,sale monitor offer copy beck andre sell price dresden looking sequence machine distribution upgrade running,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3031,sale offer sell condition price asking copy brand title distribution sequence andre beck utility upgrade,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3032,salt bean dish cooking sea kitchen gourmet pork table basic grinder rind jamaica cook stew,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3033,salt bean dish cooking sea kitchen gourmet table pork basic additional grinder rind learn palate,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3034,salt bean dish ground sea kitchen gourmet pork table basic rind grinder jamaica marley shaker,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3035,salt bean dish ground sea kitchen gourmet table pork basic rind jamaica grinder marley additional,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
3036,salt bean dish kitchen pork gourmet sea ground rind cooking amount jamaica grinder basic actually,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3037,salt bean dish sea cooking pork kitchen gourmet rind table grinder basic amount cook process,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3038,salt bean dish sea cooking pork kitchen gourmet rind table grinder basic process jamaica cook,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3039,salt bean dish sea kitchen gourmet ground pork basic rind grinder jamaica marley shaker collection,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3040,salt bean dish sea kitchen gourmet pork ground basic rind grinder jamaica marley shaker collection,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3041,salt bean dish sea kitchen gourmet pork ground rind basic grinder jamaica marley cooking shaker,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3042,saturn liar nasa fool crazy dealer gsfc lunatic columbia wrong caltech price advertising billboard lawrence,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3043,saturn liar nasa fool crazy dealer lunatic natural wrong gsfc caltech columbia price advertising billboard,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3044,saturn liar nasa natural crazy fool dealer wrong lunatic canon caltech price columbia gsfc honda,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
3045,saturn liar nasa wrong canon moral natural lunatic crazy away price morality dealer bible fool,-2,  Sure! Here's the classification of the given list of words:  Class: rather no</s>,-1,0.25
